T [K],blad T [K],R [立],blad R [立],1/T [1/K],blad 1/T [1/K],ln(1/R) [ln(1/立)],blad ln(1/R) [ln(1/立)]
296.84999999999997,0.1,210000,3680.0,0.00336870473303015,1.1348171578339736e-06,-12.254862809699606,0.017523809523809525
301.75,0.1,168000,3344.0,0.0033140016570008283,1.0982606982604238e-06,-12.031719258385396,0.019904761904761904
307.75,0.1,131000,3048.0,0.003249390739236393,1.0558540176235235e-06,-11.782952602183288,0.023267175572519085
311.95,0.1,111000,2888.0,0.003205641929796442,1.0276140182069057e-06,-11.617285480294472,0.026018018018018018
317.75,0.1,88200,905.6,0.003147128245476003,9.904416193472866e-07,-11.387362241994882,0.010267573696145125
321.65,0.1,76500,812.0,0.00310896937665164,9.665690584957688e-07,-11.245046019814627,0.01061437908496732
327.34999999999997,0.1,62100,696.8,0.0030548342752405684,9.33201244918457e-07,-11.03650126792157,0.011220611916264089
332.34999999999997,0.1,51600,612.8,0.003008876184744998,9.053335895125616e-07,-10.851276951469654,0.01187596899224806
337.25,0.1,43600,548.8,0.0029651593773165306,8.792170132888157e-07,-10.682812429337126,0.012587155963302751
342.15,0.1,36900,495.2,0.0029226947245360223,8.542144452830696e-07,-10.515966830028619,0.013420054200542006
347.04999999999995,0.1,31300,450.4,0.002881429188877684,8.302634170516307e-07,-10.351373376528244,0.014389776357827476
352.34999999999997,0.1,26500,412.0,0.002838087129274869,8.054738553355667e-07,-10.184900011974314,0.015547169811320755
357.45,0.1,22600,380.8,0.0027975940691005734,7.826532575466706e-07,-10.025705185260378,0.016849557522123894
362.84999999999997,0.1,19100,352.8,0.0027559597629874606,7.595314215205901e-07,-9.857443614034722,0.018471204188481676
